zone,export_limit_MW,peak_demand_MW,max_share,min_share
NSA,2402.1302801901184,565.504834511899,0.07111153747816927,0.0
ADE,2959.3184391907953,2967.8044233927717,0.14202784482911304,0.0002033441984253481
SESA,2415.645639692608,165.84260274163697,0.06185854756599647,0.0
NQ,1798.9345089244225,1651.9992176103453,0.08269251223420586,0.0
CQ,3597.039124604467,567.7410886717246,0.09979795789499066,0.0
SWQ,6224.774630041526,767.8808389419385,0.16756051948269018,0.0
SEQ,5244.973802005286,7853.448923915128,0.313869105391254,0.06250521685553964
NNS,3576.675547491552,1291.8005677146675,0.11666017160024801,0.0
NCEN,6777.402177512404,13075.67042547447,0.47572644947823206,0.15092136372954665
SWNSW,2898.43418756979,704.170920928793,0.0863269163122047,0.0
CAN,8573.17144103246,1444.2588164996753,0.24004125832867815,0.0
CVIC,1937.7789548116561,690.2687754961956,0.06297422272110084,0.0
NVIC,5268.700777307849,518.4983458670292,0.13867494197736013,0.0
MEL,11164.702130835913,11204.664097700237,0.5360227802410162,0.0009575829893288996
LV,7874.293895770776,403.9501425684146,0.1983662540820482,0.0
TAS,594.0,1982.340430848952,0.06173519385762964,0.03326791157432648
