year,NSW,VIC,QLD,SA,TAS,ACT
Jun-1990,335735,216165,141394,62973,17721,15577
Jun-1991,337278,210558,141579,62741,17702,15960
Jun-1992,337926,207543,146454,61664,18138,16026
Jun-1993,347414,217875,155635,63323,18726,16639
Jun-1994,360245,225250,163389,65059,19124,17377
Jun-1995,373474,232307,172822,65967,19616,18027
Jun-1996,387865,240327,178624,68639,20368,18049
Jun-1997,400572,250923,188157,71249,20714,18797
Jun-1998,415409,265717,195747,75166,21489,19548
Jun-1999,435452,282577,207327,76736,21981,20692
Jun-2000,454551,292216,216949,79433,22107,21222
Jun-2001,462443,297726,223422,81859,21921,22320
Jun-2002,471052,309125,237637,85909,23077,23092
Jun-2003,480849,317744,248524,88107,23727,24136
Jun-2004,494126,329621,265133,91029,24945,24855
Jun-2005,500740,343515,279279,92929,25593,25665
Jun-2006,506876,351392,293682,94203,26614,26309
Jun-2007,515768,361288,313527,95914,27324,27893
Jun-2008,526459,374193,328402,100398,28480,29174
Jun-2009,534051,381400,332831,103137,29285,29966
Jun-2010,542558,385336,339914,105358,29543,31273
Jun-2011,553440,396253,342795,107659,30250,32182
Jun-2012,566882,405822,362790,108761,30849,33542
Jun-2013,579398,409802,373159,109578,30685,34647
Jun-2014,593009,418902,380604,110004,31155,34727
Jun-2015,609333,430757,383818,111249,31515,35714
Jun-2016,631961,445714,392991,111865,32085,37400
Jun-2017,648206,462737,403260,114015,32473,38912
Jun-2018,662829,478591,419368,116570,33667,40505
Jun-2019,680189,493087,423285,117925,34897,42197
Jun-2020,673316,491651,418498,116749,34931,43759
Jun-2021,688693,490667,430157,122455,36598,45467
Jun-2022,706732,521709,454026,129272,38171,46757
Jun-2023,733087,535489,464580,134209,38584,48767
